,Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
301,CCN1C(=NC=2C=CC=CC12)C(C)NC(=O)C,1.0990000000000002,1.8650000000000002,0.9730000000000001,1.948,1.2530000000000001,2.005,1.1989999999999998,2.225
302,CC(=C)CN1N=C(C=CC1=O)C(C)(C)C,3.4370000000000003,3.439,2.931,2.942,3.2299999999999995,3.232,3.6790000000000003,3.6790000000000003
303,N[C@H]1CCN(C1)C(=O)C2(CC2)C=3C=CC=C(Cl)C3,1.718,1.8480000000000003,1.5419999999999998,3.068,1.855,2.012,1.8639999999999999,2.75
304,CCC1(CCC1)C(=O)N2CCC(N)CC2,1.225,1.0710000000000002,0.819,2.291,1.2959999999999998,1.2279999999999998,1.3009999999999997,1.6139999999999999
305,CC=1C=CC(C)=C(CN2CCC[C@H]2CO)C1,1.576,2.1670000000000003,1.4220000000000002,4.116,1.7149999999999999,2.085,1.71,3.189
306,CCN(C(=O)C1CCCOC1C)C=2C=CN=CC2,1.142,1.7390000000000003,0.9039999999999999,1.995,1.245,1.83,1.2279999999999998,2.0549999999999997
307,CC1=NOC(C)=C1S(=O)(=O)NC2CCCC2,2.9890000000000003,2.995,2.775,2.775,2.991,2.992,3.074,3.098
308,N[C@H]1CCN(C1)S(=O)(=O)C=2C=C(F)C=CC2Cl,1.5390000000000001,1.899,1.4289999999999998,2.876,1.6789999999999998,2.0989999999999998,1.658,2.532
309,CN1C(CNC(=O)C2CCC2)=NC=3C=CC=CC13,1.2959999999999998,2.097,1.152,2.18,1.4299999999999997,2.241,1.391,2.436
310,CC(C)C(C)NC(=O)NC1=NC=NN1C,1.7800000000000002,2.152,1.612,1.9500000000000002,1.7839999999999998,2.15,2.0469999999999997,2.408
311,C(C1CCOC1)N2CCOCC32CCCC3,0.882,2.456,0.5569999999999999,2.176,1.017,2.2479999999999998,0.9960000000000001,2.937
312,CN1C=C(C=N1)C2CCCN2C(=O)C=3C=CNN3,1.2109999999999999,1.2890000000000001,1.379,1.464,1.3679999999999999,1.448,1.4219999999999997,1.5070000000000001
313,CC=1C=CC=CC1NC(=O)CN2CCNC(=O)C2,1.1099999999999999,1.541,0.8520000000000001,1.569,1.1989999999999998,1.6869999999999998,1.251,1.7690000000000001
314,NC1=CSN=C1C=2C=CC=CC2Cl,2.028,2.472,1.936,2.314,2.186,2.6229999999999998,2.278,2.637
315,CCC1=CC=C(CN2CCOCC32CCC3)O1,1.6060000000000003,3.8360000000000003,1.415,3.063,1.7479999999999998,3.4269999999999996,1.714,3.9059999999999997
316,CC=1N=CSC1C(=O)NC(C)(C)C=2C=CC=CC2,2.7190000000000003,2.79,2.604,2.662,2.741,2.808,2.911,2.9859999999999998
317,COC=1C=CC=C(Cl)C1C(=O)N2CCC(N)CC2,1.2349999999999999,1.158,0.935,2.47,1.3820000000000001,1.3249999999999997,1.339,1.6149999999999998
318,CCCS(=O)(=O)NC=1ON=C(C)C1C,2.073,0.9979999999999999,1.983,0.21499999999999997,2.1919999999999997,1.076,2.191,0.973
319,CN1CCN(CC1)S(=O)(=O)C=2C=CC=C(Cl)C2,1.6320000000000001,2.815,1.56,2.83,1.8089999999999997,2.8409999999999997,1.779,3.197
320,CC=1C=CC(F)=C(C1)C(=O)N2CCC(N)CC2,1.295,1.1099999999999999,1.123,2.5140000000000002,1.4100000000000001,1.27,1.4219999999999997,1.5
321,COC=1C=CC=CC1C2CCCN2C(=O)C(C)N,1.734,1.741,1.589,3.147,1.851,1.975,1.8969999999999998,2.568
322,FC=1C=CC=CC1S(=O)(=O)N2CCCNCC2,1.376,1.327,1.342,,1.529,1.5629999999999997,1.5059999999999998,1.794
323,C[C@@H]1CN(CCN1)C(=O)C=2C=CC(F)=C(C)C2,1.4380000000000002,1.751,1.198,2.62,1.545,1.858,1.5589999999999997,2.485
324,NC(=O)C1CC21CCCC=3C=CC=CC32,2.6670000000000003,2.681,2.587,2.545,2.733,2.747,2.907,2.9
325,CC=1NC=2C=CC=CC2C1C(=O)N3CCCCC3,2.8240000000000003,2.835,2.648,2.658,2.874,2.887,3.057,3.078
326,OC(=O)C1(CC1)NC=2C=CC=CC2,2.236,1.016,2.0060000000000002,0.126,2.338,1.036,2.3489999999999998,
327,CN1C=C(C(N)=N1)P(=O)(C)C,0.139,0.19199999999999995,0.269,0.3440000000000001,0.243,0.277,0.275,0.31900000000000006
328,CNC(C)C=1C=CC=NC1,-0.018000000000000016,,-0.009000000000000008,1.367,0.018000000000000016,0.503,0.030000000000000027,0.6
329,CC(C)C1CN(C)CCN1CC=2SC=NC2C,1.0590000000000002,2.081,0.879,3.8910000000000005,1.13,2.015,1.206,3.452
330,CC1CN(CCO1)C(=O)C2=NNC=3C=CC=CC23,1.971,1.9740000000000002,1.9609999999999999,1.9820000000000002,2.069,2.062,2.138,2.142
331,CCNS(=O)(=O)C=1C=CC=2OCCC2C1,2.345,2.35,2.271,2.273,2.492,2.5,2.475,2.495
332,CC1=NN(C(C)=C1C)S(=O)(=O)C=2C=CC(C)=CC2,3.627,3.6470000000000002,3.187,3.169,3.5389999999999997,3.5309999999999997,3.7119999999999997,3.729
333,FC=1C=CC=CC1S(=O)(=O)CC=2C=CN=CC2,1.2029999999999998,2.003,1.17,2.301,1.37,2.2279999999999998,1.318,2.242
334,COC=1C=C(Cl)C=CC1CN2CCNC(=O)C2,1.407,2.3560000000000003,1.271,2.335,1.5579999999999998,2.4779999999999998,1.553,2.687
335,CC1=NN(CC=2C(C)=CC=CC2C)C(N)=C1C#N,2.9850000000000003,3.005,2.821,2.817,3.056,3.021,3.092,3.116
336,CC1(CCOCC1)C(=O)O,,,,,,,,
337,"N[C@@H]1C[C@H]1C=2C=CC=CC2C(F)(F)F |&1:1,3,r|",1.6800000000000002,2.5740000000000003,1.525,3.197,1.7439999999999998,2.517,1.826,3.166
338,CC1(C)CN(CCO1)C(=O)C(N)C=2C=CC=CC2,1.3730000000000002,1.705,1.145,2.148,1.4129999999999998,1.7570000000000001,1.4819999999999998,2.018
339,CC1CN(CC2=CC(=CS2)C(=O)N)C(C)(C)CO1,0.7799999999999999,2.289,0.732,2.234,0.8990000000000001,2.282,0.8350000000000001,2.508
340,CC=1C=CC(=C(C)C1)S(=O)(=O)NC=2C=CC=CN2,2.44,2.427,2.282,2.279,2.493,2.516,2.554,2.581
341,CC1=CSC(=N1)C(C#N)C(=O)C=2C=CC=CC2F,2.416,1.912,2.532,1.499,2.5669999999999997,2.0,2.5669999999999997,
342,CNS(=O)(=O)C=1C=CC(F)=CC1,2.005,2.0060000000000002,1.855,1.8519999999999999,2.128,2.137,2.143,2.164
343,FC=1C=CC(=C(F)C1)S(=O)(=O)N2CCOCC2,2.7,2.708,2.539,2.537,2.803,2.816,2.802,2.828
344,CCS(=O)(=O)C=1C=CC(=CC1)N2CCCC3(CC3)C2,2.462,3.7750000000000004,2.808,3.278,3.2670000000000003,3.702,3.4349999999999996,3.832
345,OC(=O)C1CCN(CC=2C=CC=C(F)C2F)C1,1.1229999999999998,0.9420000000000001,0.895,0.6910000000000001,1.279,1.029,1.217,0.9209999999999999
346,CN(C)C(=O)C(N)C=1C=CC=CC1,0.9760000000000001,1.2189999999999999,0.651,1.612,1.0539999999999998,1.315,1.056,1.275
347,CC(C)N1C=NN=C1C=2C=CC=CC2Cl,1.931,2.173,1.996,2.329,2.0669999999999997,2.314,2.233,2.501
348,CC1CCC2(CCN(C2)C(=O)CNC(=O)C)C1,2.0540000000000003,2.251,2.1430000000000002,2.153,2.332,2.342,2.572,2.56
349,CC=1C=C(SC1C)C(=O)N2CCCC2C(=O)O,2.342,1.161,2.205,0.6759999999999999,2.4579999999999997,1.8599999999999999,2.476,1.2349999999999999
350,COC=1C=CC=2C=C(C=CC2C1)S(=O)(=O)N(C)C,3.4350000000000005,3.4459999999999997,3.227,3.197,3.4050000000000002,3.423,3.526,3.5649999999999995
351,CC=1N=C(CN2C(=O)NC3(CCC3)C2=O)OC1C,1.8520000000000003,1.8890000000000002,1.7839999999999998,1.8319999999999999,1.971,2.017,2.012,2.054
352,CC(C)(C)NC(=O)C1CCCCC1C(=O)O,2.382,1.435,2.169,0.687,2.355,1.5779999999999998,2.512,1.88
353,CCN(C)C(=O)C1CSC2(C)CCC(=O)N12,1.7310000000000003,1.7310000000000003,1.5979999999999999,1.6150000000000002,1.8639999999999999,1.875,1.8940000000000001,1.9089999999999998
354,O=S1(=O)CCC=2C=CC(NCC3CCC3)=CC21,2.7310000000000003,3.25,2.436,3.043,2.782,3.335,2.852,3.3659999999999997
